normalized_score,male,female
65,482,178
66,56,20
67,4,6
68,69,37
69,100,76
70,249,178
71,169,118
72,758,513
73,673,382
74,1976,1147
75,2868,1808
76,10967,5071
77,2776,1753
78,5145,3623
79,2883,2087
80,6758,4866
81,5955,4450
82,3142,2366
83,6305,5048
84,3116,2526
85,9706,8090
86,3118,2801
87,6576,5695
88,3264,2892
89,6799,6061
90,3443,3371
91,7107,6725
92,3502,3421
93,7132,7308
94,3721,3845
95,11133,11565
96,3833,3964
97,7634,8269
98,3872,4295
99,7678,8695
100,3908,4362
101,7834,8829
102,3868,4464
103,7759,8955
104,3889,4422
105,11485,13216
106,3696,4348
107,7355,8733
108,3648,4400
109,6903,8488
110,3523,4050
111,6776,7835
112,6399,7660
113,3139,3762
114,5869,7106
115,5708,6716
116,5315,5980
117,2457,2659
118,4463,4974
119,1976,2345
120,3540,3683
121,1778,1795
122,2631,2693
123,1034,1004
124,1957,1794
125,952,918
126,372,334
127,388,335
