subject,type,standard_score,male,female
korean,korean,150,34 ,30 
korean,korean,148,24 ,35 
korean,korean,147,98 ,63 
korean,korean,146,65 ,83 
korean,korean,145,160 ,117 
korean,korean,144,270 ,242 
korean,korean,143,271 ,214 
korean,korean,142,435 ,311 
korean,korean,141,458 ,428 
korean,korean,140,607 ,511 
korean,korean,139,564 ,457 
korean,korean,138,900 ,799 
korean,korean,137,772 ,738 
korean,korean,136,"1,161 ",987 
korean,korean,135,"1,242 ","1,044 "
korean,korean,134,"1,195 ","1,113 "
korean,korean,133,"1,370 ","1,217 "
korean,korean,132,"1,633 ","1,570 "
korean,korean,131,"1,793 ","1,564 "
korean,korean,130,"1,659 ","1,642 "
korean,korean,129,"2,185 ","2,157 "
korean,korean,128,"2,117 ","2,096 "
korean,korean,127,"2,460 ","2,282 "
korean,korean,126,"2,594 ","2,508 "
korean,korean,125,"2,277 ","2,250 "
korean,korean,124,"2,689 ","2,560 "
korean,korean,123,"2,933 ","2,928 "
korean,korean,122,"2,643 ","2,652 "
korean,korean,121,"2,921 ","2,862 "
korean,korean,120,"3,482 ","3,563 "
korean,korean,119,"3,374 ","3,390 "
korean,korean,,,
korean,korean,118,"3,471 ","3,231 "
korean,korean,117,"3,442 ","3,556 "
korean,korean,116,"3,262 ","3,316 "
korean,korean,115,"3,768 ","3,840 "
korean,korean,114,"3,931 ","3,888 "
korean,korean,113,"3,325 ","3,378 "
korean,korean,112,"3,987 ","3,979 "
korean,korean,111,"4,106 ","4,194 "
korean,korean,110,"3,877 ","4,122 "
korean,korean,109,"3,987 ","4,012 "
korean,korean,108,"3,753 ","3,961 "
korean,korean,107,"3,755 ","4,061 "
korean,korean,106,"4,275 ","4,404 "
korean,korean,105,"4,003 ","4,090 "
korean,korean,104,"3,645 ","3,802 "
korean,korean,103,"4,405 ","4,607 "
korean,korean,102,"3,689 ","3,956 "
korean,korean,101,"3,951 ","4,046 "
korean,korean,100,"4,195 ","4,399 "
korean,korean,99,"3,542 ","3,592 "
korean,korean,98,"3,804 ","3,895 "
korean,korean,97,"4,112 ","4,285 "
korean,korean,96,"3,483 ","3,605 "
korean,korean,95,"3,781 ","3,821 "
korean,korean,94,"3,907 ","4,028 "
korean,korean,93,"3,333 ","3,401 "
korean,korean,92,"3,521 ","3,612 "
korean,korean,91,"3,691 ","3,856 "
korean,korean,90,"3,133 ","3,217 "
korean,korean,89,"3,325 ","3,509 "
korean,korean,88,"3,606 ","3,580 "
korean,korean,87,"2,982 ","2,899 "
korean,korean,86,"3,196 ","3,128 "
korean,korean,85,"3,365 ","3,081 "
korean,korean,84,"2,618 ","2,581 "
korean,korean,83,"2,951 ","2,865 "
korean,korean,82,"2,969 ","2,852 "
korean,korean,81,"2,440 ","2,375 "
korean,korean,80,"2,652 ","2,577 "
korean,korean,79,"2,702 ","2,533 "
korean,korean,78,"2,446 ","2,131 "
korean,korean,77,"2,266 ","2,020 "
korean,korean,76,"2,431 ","2,086 "
korean,korean,75,"2,049 ","1,818 "
korean,korean,74,"1,976 ","1,866 "
korean,korean,73,"2,251 ","1,720 "
korean,korean,72,"1,716 ","1,371 "
korean,korean,71,"1,820 ","1,520 "
korean,korean,70,"1,895 ","1,411 "
korean,korean,69,"1,824 ","1,385 "
korean,korean,68,"1,476 ","1,071 "
korean,korean,67,"1,621 ","1,246 "
korean,korean,66,"1,557 ","1,098 "
korean,korean,65,"1,657 ",996 
korean,korean,64,"1,613 ","1,042 "
korean,korean,63,"1,362 ",916 
korean,korean,62,"1,224 ",896 
korean,korean,61,"1,383 ",891 
korean,korean,60,"2,175 ","1,169 "
korean,korean,59,926 ,541 
korean,korean,58,759 ,464 
korean,korean,57,"1,362 ",849 
korean,korean,56,428 ,252 
korean,korean,55,460 ,308 
korean,korean,54,332 ,192 
korean,korean,53,235 ,129 
korean,korean,52,211 ,121 
korean,korean,51,160 ,104 
korean,korean,50,76 ,47 
korean,korean,49,103 ,89 
korean,korean,48,52 ,55 
korean,korean,47,52 ,29 
korean,korean,46,14 ,7 
korean,korean,45,29 ,25 
korean,korean,44,19 ,15 
korean,korean,43,25 ,16 
korean,korean,42,2 ,1 
korean,korean,41,80 ,27 
korean,korean,40,4 ,3 
korean,korean,39,145 ,74 
