subject,type,standard_score,male,female
korean,korean,140,463,314
korean,korean,138,915,614
korean,korean,137,604,481
korean,korean,136,925,744
korean,korean,135,"1,667","1,406"
korean,korean,134,"1,197",942
korean,korean,133,"2,365","2,096"
korean,korean,132,"1,801","1,542"
korean,korean,131,"2,753","2,453"
korean,korean,130,"2,615","2,335"
korean,korean,129,"2,809","2,580"
korean,korean,128,"3,142","2,888"
korean,korean,127,"2,931","2,843"
korean,korean,126,"3,411","3,318"
korean,korean,125,"3,238","3,147"
korean,korean,124,"3,516","3,462"
korean,korean,123,"3,551","3,495"
korean,korean,122,"3,577","3,594"
korean,korean,121,"3,803","3,777"
korean,korean,120,"3,865","3,657"
korean,korean,119,"3,845","3,922"
korean,korean,118,"3,733","3,789"
korean,korean,117,"3,868","3,984"
korean,korean,116,"3,910","4,045"
korean,korean,115,"3,773","4,053"
korean,korean,114,"3,822","4,109"
korean,korean,113,"3,915","4,139"
korean,korean,112,"3,822","4,164"
korean,korean,111,"3,909","4,225"
korean,korean,110,"3,970","4,075"
korean,korean,109,"3,866","4,225"
korean,korean,108,"3,939","4,140"
korean,korean,107,"3,900","4,220"
korean,korean,106,"3,927","4,213"
korean,korean,105,"3,951","4,306"
korean,korean,104,"3,902","4,291"
korean,korean,103,"4,065","4,001"
korean,korean,102,"3,874","4,154"
korean,korean,101,"3,847","4,174"
korean,korean,100,"3,873","4,086"
korean,korean,99,"3,963","4,045"
korean,korean,98,"3,799","4,037"
korean,korean,97,"3,836","3,937"
korean,korean,96,"3,838","3,898"
korean,korean,95,"3,792","3,943"
korean,korean,94,"3,735","3,817"
korean,korean,93,"3,764","3,784"
korean,korean,92,"3,599","3,682"
korean,korean,91,"3,718","3,623"
korean,korean,90,"3,668","3,564"
korean,korean,89,"3,586","3,370"
korean,korean,88,"3,454","3,508"
korean,korean,87,"3,444","3,298"
korean,korean,86,"3,386","3,195"
korean,korean,85,"3,315","3,191"
korean,korean,84,"3,280","3,011"
korean,korean,83,"3,324","2,866"
korean,korean,82,"3,029","2,969"
korean,korean,81,"3,172","2,887"
korean,korean,80,"2,903","2,578"
korean,korean,79,"2,769","2,685"
korean,korean,78,"2,870","2,603"
korean,korean,77,"2,710","2,423"
korean,korean,76,"2,700","2,299"
korean,korean,75,"2,533","2,189"
korean,korean,74,"2,587","2,091"
korean,korean,73,"2,574","2,069"
korean,korean,72,"2,399","1,902"
korean,korean,71,"2,225","1,903"
korean,korean,70,"2,228","1,666"
korean,korean,69,"2,185","1,658"
korean,korean,68,"2,048","1,511"
korean,korean,67,"2,139","1,509"
korean,korean,66,"1,919","1,355"
korean,korean,65,"1,871","1,328"
korean,korean,64,"4,371","2,621"
korean,korean,63,"1,427",972
korean,korean,62,"1,557",959
korean,korean,61,"1,415",838
korean,korean,60,996,595
korean,korean,59,962,581
korean,korean,58,735,459
korean,korean,57,794,458
korean,korean,56,474,263
korean,korean,55,357,186
korean,korean,54,314,230
korean,korean,53,202,137
korean,korean,52,193,109
korean,korean,51,132,87
수학,korean,50,100,78
수학,korean,49,82,54
수학,korean,48,43,31
수학,korean,47,55,56
수학,korean,46,23,18
수학,korean,45,37,32
수학,korean,44,12,8
수학,korean,43,34,47
수학,korean,41,211,105
수학,수학 가형,134,748,145
수학,수학 가형,133,8,3
수학,수학 가형,132,99,17
수학,수학 가형,131,"1,806",472
수학,수학 가형,130,34,11
수학,수학 가형,129,387,132
수학,수학 가형,128,"3,654","1,150"
수학,수학 가형,127,3,2
수학,수학 가형,126,129,44
수학,수학 가형,125,"5,627","2,026"
수학,수학 가형,124,23,15
수학,수학 가형,123,266,107
수학,수학 가형,122,"1,988",710
수학,수학 가형,121,"4,924","2,021"
수학,수학 가형,120,706,255
수학,수학 가형,119,"2,856","1,138"
수학,수학 가형,118,"3,872","1,833"
수학,수학 가형,117,196,93
수학,수학 가형,116,"4,332","2,070"
수학,수학 가형,115,"2,602","1,276"
수학,수학 가형,114,460,229
수학,수학 가형,113,"1,689",855
수학,수학 가형,112,"2,962","1,462"
수학,수학 가형,111,"2,284","1,217"
수학,수학 가형,110,"2,086","1,090"
수학,수학 가형,109,"2,236","1,194"
수학,수학 가형,108,925,496
수학,수학 가형,107,"1,249",695
수학,수학 가형,106,"3,470","1,976"
수학,수학 가형,105,861,489
수학,수학 가형,104,"1,417",889
수학,수학 가형,103,"1,650",916
수학,수학 가형,102,948,549
수학,수학 가형,101,"2,452","1,564"
수학,수학 가형,100,"1,182",679
수학,수학 가형,99,819,509
수학,수학 가형,98,"1,179",677
수학,수학 가형,97,"2,066","1,205"
수학,수학 가형,96,912,545
수학,수학 가형,95,"1,162",675
수학,수학 가형,94,957,555
수학,수학 가형,93,730,500
수학,수학 가형,92,"1,874","1,216"
수학,수학 가형,91,765,451
수학,수학 가형,90,846,516
수학,수학 가형,89,932,565
수학,수학 가형,88,789,512
수학,수학 가형,87,"1,633","1,082"
수학,수학 가형,86,847,534
수학,수학 가형,85,725,439
수학,수학 가형,84,887,550
수학,수학 가형,83,"1,626","1,000"
수학,수학 가형,82,816,534
수학,수학 가형,81,891,559
수학,수학 가형,80,759,517
수학,수학 가형,79,726,528
수학,수학 가형,78,"1,679","1,074"
수학,수학 가형,77,731,481
수학,수학 가형,76,827,565
수학,수학 가형,75,847,572
수학,수학 가형,74,691,496
수학,수학 가형,73,"1,609","1,020"
수학,수학 가형,72,723,423
수학,수학 가형,71,857,497
수학,수학 가형,70,847,430
수학,수학 가형,69,"1,642",918
수학,수학 가형,68,779,424
수학,수학 가형,67,770,409
수학,수학 가형,66,815,400
수학,수학 가형,65,818,371
수학,수학 가형,64,"1,439",675
수학,수학 가형,63,910,405
수학,수학 가형,62,"1,291",465
수학,수학 가형,61,564,238
수학,수학 가형,60,446,179
수학,수학 가형,59,584,248
수학,수학 가형,58,241,96
수학,수학 가형,57,161,70
수학,수학 가형,56,108,29
수학,수학 가형,55,83,29
수학,수학 가형,54,111,37
수학,수학 가형,52,135,49
수학,수학 나형,149,405,256
수학,수학 나형,147,3,2
수학,수학 나형,146,22,17
수학,수학 나형,145,783,497
수학,수학 나형,144,6,1
수학,수학 나형,143,68,63
수학,수학 나형,142,"1,312","1,077"
수학,수학 나형,141,1,0
수학,수학 나형,140,27,15
수학,수학 나형,139,226,196
수학,수학 나형,138,"2,049","1,988"
수학,수학 나형,137,47,43
수학,수학 나형,136,506,413
수학,수학 나형,135,"2,750","2,927"
수학,수학 나형,134,10,9
수학,수학 나형,133,122,91
수학,수학 나형,132,944,947
수학,수학 나형,131,"3,308","3,742"
수학,수학 나형,130,24,22
수학,수학 나형,129,"1,779","1,844"
수학,수학 나형,128,"3,316","4,307"
수학,수학 나형,127,59,57
수학,수학 나형,126,472,450
수학,수학 나형,125,"2,177","2,365"
수학,수학 나형,124,"3,157","4,033"
수학,수학 나형,123,124,117
수학,수학 나형,122,"3,505","3,959"
수학,수학 나형,121,"2,626","3,631"
수학,수학 나형,120,315,266
수학,수학 나형,119,"1,349","1,442"
수학,수학 나형,118,"2,788","3,517"
수학,수학 나형,117,"1,859","2,707"
수학,수학 나형,116,649,559
수학,수학 나형,115,"4,672","5,707"
수학,수학 나형,114,"1,280","1,954"
수학,수학 나형,113,"1,100","1,106"
수학,수학 나형,112,"2,289","2,934"
수학,수학 나형,111,"2,170","3,052"
수학,수학 나형,110,"1,012","1,384"
수학,수학 나형,109,"1,671","2,080"
수학,수학 나형,108,"2,417","3,100"
수학,수학 나형,107,"2,826","3,718"
수학,수학 나형,106,"2,181","2,856"
수학,수학 나형,105,"1,834","2,523"
수학,수학 나형,104,"1,220","1,527"
수학,수학 나형,103,"1,855","2,266"
수학,수학 나형,102,"2,126","2,880"
수학,수학 나형,101,"1,349","1,692"
수학,수학 나형,100,"3,608","4,721"
수학,수학 나형,99,"1,493","2,086"
수학,수학 나형,98,"1,403","1,790"
수학,수학 나형,97,"2,007","2,628"
수학,수학 나형,96,"1,665","2,326"
수학,수학 나형,95,"1,346","1,826"
수학,수학 나형,94,"1,952","2,523"
수학,수학 나형,93,"3,362","4,321"
수학,수학 나형,92,"1,849","2,502"
수학,수학 나형,91,"2,031","2,659"
수학,수학 나형,90,"1,514","2,002"
수학,수학 나형,89,"1,819","2,435"
수학,수학 나형,88,"2,255","2,780"
수학,수학 나형,87,"1,541","2,110"
수학,수학 나형,86,"4,102","5,163"
수학,수학 나형,85,"1,733","2,353"
수학,수학 나형,84,"1,947","2,448"
수학,수학 나형,83,"2,441","2,802"
수학,수학 나형,82,"1,853","2,544"
수학,수학 나형,81,"2,031","2,522"
수학,수학 나형,80,"2,411","3,061"
수학,수학 나형,79,"1,892","2,499"
수학,수학 나형,78,"6,013","7,362"
수학,수학 나형,77,"1,867","2,269"
수학,수학 나형,76,"2,151","2,612"
수학,수학 나형,75,"2,350","2,668"
수학,수학 나형,74,"1,741","2,140"
수학,수학 나형,73,"1,974","2,248"
수학,수학 나형,72,"1,449","1,684"
수학,수학 나형,71,"4,981","4,948"
수학,수학 나형,70,"1,524","1,643"
수학,수학 나형,69,"1,130","1,278"
수학,수학 나형,68,552,682
수학,수학 나형,67,539,567
수학,수학 나형,66,400,455
수학,수학 나형,65,280,315
수학,수학 나형,64,389,376
수학,수학 나형,63,123,110
수학,수학 나형,61,194,163
사회탐구,생활과 윤리,65,"1,390","2,509"
사회탐구,생활과 윤리,64,"2,186","4,406"
사회탐구,생활과 윤리,63,"1,054","1,991"
사회탐구,생활과 윤리,62,944,"1,845"
사회탐구,생활과 윤리,61,"2,867","5,211"
사회탐구,생활과 윤리,60,"2,904","5,538"
사회탐구,생활과 윤리,59,"1,607","3,357"
사회탐구,생활과 윤리,58,"1,209","2,387"
사회탐구,생활과 윤리,57,"1,902","3,809"
사회탐구,생활과 윤리,56,"2,750","5,514"
사회탐구,생활과 윤리,55,"1,359","2,761"
사회탐구,생활과 윤리,54,"1,290","2,387"
사회탐구,생활과 윤리,53,"1,357","2,967"
사회탐구,생활과 윤리,52,"2,498","4,886"
사회탐구,생활과 윤리,51,"1,154","2,320"
사회탐구,생활과 윤리,50,"1,206","2,231"
사회탐구,생활과 윤리,49,"1,309","2,601"
사회탐구,생활과 윤리,48,"2,462","4,535"
사회탐구,생활과 윤리,47,"1,081","2,064"
사회탐구,생활과 윤리,46,"1,232","2,039"
사회탐구,생활과 윤리,45,"1,164","2,318"
사회탐구,생활과 윤리,44,"2,025","3,713"
사회탐구,생활과 윤리,43,942,"1,737"
사회탐구,생활과 윤리,42,890,"1,489"
사회탐구,생활과 윤리,41,980,"1,664"
사회탐구,생활과 윤리,40,"1,674","2,714"
사회탐구,생활과 윤리,39,793,"1,275"
사회탐구,생활과 윤리,38,749,"1,150"
사회탐구,생활과 윤리,37,842,"1,273"
사회탐구,생활과 윤리,36,"1,677","2,329"
사회탐구,생활과 윤리,35,775,"1,002"
사회탐구,생활과 윤리,34,832,"1,044"
사회탐구,생활과 윤리,33,"1,085","1,220"
사회탐구,생활과 윤리,32,"2,110","2,169"
사회탐구,생활과 윤리,31,"1,838","1,396"
사회탐구,생활과 윤리,30,347,364
사회탐구,생활과 윤리,29,436,458
사회탐구,생활과 윤리,28,362,363
사회탐구,생활과 윤리,27,163,183
사회탐구,생활과 윤리,25,89,79
사회탐구,윤리와 사상,62,"1,690","3,055"
사회탐구,윤리와 사상,61,220,407
사회탐구,윤리와 사상,60,"1,068","2,123"
사회탐구,윤리와 사상,59,296,598
사회탐구,윤리와 사상,58,528,"1,126"
사회탐구,윤리와 사상,57,262,539
사회탐구,윤리와 사상,56,358,746
사회탐구,윤리와 사상,55,205,416
사회탐구,윤리와 사상,54,286,670
사회탐구,윤리와 사상,53,146,333
사회탐구,윤리와 사상,52,271,618
사회탐구,윤리와 사상,51,148,293
사회탐구,윤리와 사상,50,280,610
사회탐구,윤리와 사상,49,153,280
사회탐구,윤리와 사상,48,272,618
사회탐구,윤리와 사상,47,164,334
사회탐구,윤리와 사상,46,344,625
사회탐구,윤리와 사상,45,164,325
사회탐구,윤리와 사상,44,367,673
사회탐구,윤리와 사상,43,191,289
사회탐구,윤리와 사상,42,428,667
사회탐구,윤리와 사상,41,216,341
사회탐구,윤리와 사상,40,454,736
사회탐구,윤리와 사상,39,252,387
사회탐구,윤리와 사상,38,554,827
사회탐구,윤리와 사상,37,298,352
사회탐구,윤리와 사상,36,820,872
사회탐구,윤리와 사상,35,179,222
사회탐구,윤리와 사상,34,734,673
사회탐구,윤리와 사상,33,118,101
사회탐구,윤리와 사상,32,182,174
사회탐구,윤리와 사상,31,39,23
사회탐구,윤리와 사상,30,42,50
사회탐구,윤리와 사상,29,29,36
사회탐구,한국 지리,66,"2,039","1,719"
사회탐구,한국 지리,65,725,728
사회탐구,한국 지리,64,"1,249","1,347"
사회탐구,한국 지리,63,"1,112","1,218"
사회탐구,한국 지리,62,738,806
사회탐구,한국 지리,61,"1,215","1,466"
사회탐구,한국 지리,60,472,591
사회탐구,한국 지리,59,532,681
사회탐구,한국 지리,58,957,"1,305"
사회탐구,한국 지리,57,489,705
사회탐구,한국 지리,56,910,"1,177"
사회탐구,한국 지리,55,453,567
사회탐구,한국 지리,54,410,550
사회탐구,한국 지리,53,834,"1,130"
사회탐구,한국 지리,52,478,607
사회탐구,한국 지리,51,848,"1,213"
사회탐구,한국 지리,50,457,635
사회탐구,한국 지리,49,456,673
사회탐구,한국 지리,48,997,"1,474"
사회탐구,한국 지리,47,515,766
사회탐구,한국 지리,46,588,823
사회탐구,한국 지리,45,"1,249","1,687"
사회탐구,한국 지리,44,674,839
사회탐구,한국 지리,43,"1,438","2,004"
사회탐구,한국 지리,42,786,884
사회탐구,한국 지리,41,829,"1,002"
사회탐구,한국 지리,40,"1,589","1,938"
사회탐구,한국 지리,39,795,890
사회탐구,한국 지리,38,"2,106","2,033"
사회탐구,한국 지리,37,857,796
사회탐구,한국 지리,36,506,523
사회탐구,한국 지리,35,754,802
사회탐구,한국 지리,34,292,271
사회탐구,한국 지리,33,234,221
사회탐구,한국 지리,32,93,86
사회탐구,한국 지리,30,71,59
사회탐구,세계 지리,65,717,542
사회탐구,세계 지리,64,"1,211","1,019"
사회탐구,세계 지리,63,322,287
사회탐구,세계 지리,62,771,742
