subject,type,standard_score,male,female
korean,korean,149,15,13
korean,korean,147,18,15
korean,korean,146,38,29
korean,korean,145,68,45
korean,korean,144,98,56
korean,korean,143,194,138
korean,korean,142,155,102
korean,korean,141,331,213
korean,korean,140,228,135
korean,korean,139,504,353
korean,korean,138,516,387
korean,korean,137,537,418
korean,korean,136,856,588
korean,korean,135,883,744
korean,korean,134,1172,963
korean,korean,133,1232,818
korean,korean,132,1541,1172
korean,korean,131,1807,1532
korean,korean,130,1517,1167
korean,korean,129,2249,1832
korean,korean,128,2571,2249
korean,korean,127,2070,1862
korean,korean,126,2729,2475
korean,korean,125,2924,2564
korean,korean,124,3262,3090
korean,korean,123,2640,2443
korean,korean,122,3547,3541
korean,korean,121,4034,3773
korean,korean,120,3052,3172
korean,korean,119,4236,4221
korean,korean,118,3854,3879
korean,korean,117,4223,4458
korean,korean,116,3951,4265
korean,korean,115,3799,3838
korean,korean,114,4621,4994
korean,korean,113,4390,4854
korean,korean,112,3700,4117
korean,korean,111,4334,4771
korean,korean,110,4450,5202
korean,korean,109,4273,4917
korean,korean,108,3573,3845
korean,korean,107,4735,5290
korean,korean,106,4203,4697
korean,korean,105,4071,4638
korean,korean,104,4039,4468
korean,korean,103,4044,4372
korean,korean,102,3801,4382
korean,korean,101,3800,4160
korean,korean,100,3673,3837
korean,korean,99,3875,4385
korean,korean,98,3744,4088
korean,korean,97,3206,3340
korean,korean,96,3627,3765
korean,korean,95,3459,3729
korean,korean,94,2981,3045
korean,korean,93,3184,3232
korean,korean,92,3377,3525
korean,korean,91,2817,2914
korean,korean,90,2770,2728
korean,korean,89,3136,3289
korean,korean,88,2681,2659
korean,korean,87,2912,2900
korean,korean,86,2465,2574
korean,korean,85,2637,2454
korean,korean,84,2528,2448
korean,korean,83,2368,2266
korean,korean,82,2487,2226
korean,korean,81,2325,2180
korean,korean,80,2209,1988
korean,korean,79,2254,1901
korean,korean,78,2240,1960
korean,korean,77,2222,2030
korean,korean,76,2092,1686
korean,korean,75,2156,1856
korean,korean,74,2156,1705
korean,korean,73,1955,1574
korean,korean,72,2214,1761
korean,korean,71,1960,1552
korean,korean,70,1869,1362
korean,korean,69,2000,1420
korean,korean,68,2185,1515
korean,korean,67,1840,1270
korean,korean,66,2015,1365
korean,korean,65,1905,1224
korean,korean,64,2075,1256
korean,korean,63,2507,1327
korean,korean,62,1699,1052
korean,korean,61,1359,877
korean,korean,60,1372,790
korean,korean,59,937,573
korean,korean,58,879,543
korean,korean,57,971,617
korean,korean,56,747,469
korean,korean,55,738,386
korean,korean,54,637,381
korean,korean,53,376,214
korean,korean,52,302,189
korean,korean,51,275,162
korean,korean,50,202,117
korean,korean,49,128,82
korean,korean,48,116,81
korean,korean,47,90,54
korean,korean,46,68,52
korean,korean,45,24,11
korean,korean,44,28,26
korean,korean,43,18,13
korean,korean,42,21,22
korean,korean,41,1,5
korean,korean,40,17,16
korean,korean,39,5,4
korean,korean,38,52,22
korean,korean,37,123,53
