subject,type,standard_score,male,female
korean,korean,134,1765,1449
korean,korean,132,3013,2179
korean,korean,131,1077,1106
korean,korean,130,2907,2276
korean,korean,129,2680,2742
korean,korean,128,2518,2253
korean,korean,127,3789,3782
korean,korean,126,2856,2766
korean,korean,125,4269,4114
korean,korean,124,3576,3710
korean,korean,123,4176,4464
korean,korean,122,4326,4614
korean,korean,121,4229,4578
korean,korean,120,9089,10062
korean,korean,119,4836,5558
korean,korean,118,4616,5040
korean,korean,117,4881,5488
korean,korean,116,5013,5279
korean,korean,115,4784,5511
korean,korean,114,4993,5621
korean,korean,113,4575,5312
korean,korean,112,5042,5646
korean,korean,111,4830,5043
korean,korean,110,4830,5556
korean,korean,109,4583,4947
korean,korean,108,4889,5183
korean,korean,107,4692,4971
korean,korean,106,4500,4997
korean,korean,105,4523,4959
korean,korean,104,4274,4658
korean,korean,103,4436,4568
korean,korean,102,4064,4457
korean,korean,101,4255,4483
korean,korean,100,3955,4241
korean,korean,99,7891,8157
korean,korean,98,3861,3997
korean,korean,97,3735,3806
korean,korean,96,3693,3741
korean,korean,95,3610,3670
korean,korean,94,3530,3517
korean,korean,93,3702,3516
korean,korean,92,3471,3260
korean,korean,91,3369,3238
korean,korean,90,3233,3080
korean,korean,89,3197,3177
korean,korean,88,3194,3105
korean,korean,87,3171,2776
korean,korean,86,3123,2814
korean,korean,85,3019,2652
korean,korean,84,2938,2603
korean,korean,83,2921,2633
korean,korean,82,2860,2412
korean,korean,81,2734,2390
korean,korean,80,2748,2390
korean,korean,79,5168,4374
korean,korean,78,2513,2160
korean,korean,77,2451,2029
korean,korean,76,2513,2027
korean,korean,75,2421,1924
korean,korean,74,2268,1851
korean,korean,73,2396,1767
korean,korean,72,2273,1729
korean,korean,71,2231,1632
korean,korean,70,2225,1627
korean,korean,69,2264,1559
korean,korean,68,2123,1464
korean,korean,67,2554,1670
korean,korean,66,2043,1304
korean,korean,65,2129,1374
korean,korean,64,1961,1221
korean,korean,63,2040,1190
korean,korean,62,1863,1124
korean,korean,61,1921,1052
korean,korean,60,1750,907
korean,korean,59,1351,786
korean,korean,58,4019,1705
korean,korean,57,1117,626
korean,korean,56,996,501
korean,korean,55,859,497
korean,korean,54,715,371
korean,korean,53,523,260
korean,korean,52,510,264
korean,korean,51,375,198
korean,korean,50,273,138
korean,korean,49,193,95
korean,korean,48,150,86
korean,korean,47,108,56
korean,korean,46,91,59
korean,korean,45,47,41
korean,korean,44,45,40
korean,korean,43,27,21
korean,korean,42,32,32
korean,korean,41,6,6
korean,korean,40,52,31
korean,korean,38,212,99
math,math_1,130,148,17
math,math_1,127,16,0
math,math_1,126,1432,320
math,math_1,125,6,1
math,math_1,124,172,40
math,math_1,123,5051,1676
math,math_1,122,1,0
math,math_1,121,44,17
math,math_1,120,13283,5637
math,math_1,119,9,4
math,math_1,118,200,97
math,math_1,117,2705,1188
math,math_1,116,11654,5681
math,math_1,115,48,30
math,math_1,114,4022,1955
math,math_1,113,7983,4454
math,math_1,112,141,63
math,math_1,111,811,438
math,math_1,110,3572,1839
math,math_1,109,4700,2991
math,math_1,108,208,126
math,math_1,107,4189,2299
math,math_1,106,3100,1953
math,math_1,105,349,214
math,math_1,104,1254,662
math,math_1,103,2677,1575
math,math_1,102,1923,1247
math,math_1,101,1866,1084
math,math_1,100,1995,1268
math,math_1,99,1141,713
math,math_1,98,744,427
math,math_1,97,1477,855
math,math_1,96,1433,904
math,math_1,95,1548,1059
math,math_1,94,1239,746
math,math_1,93,932,552
math,math_1,92,680,428
math,math_1,91,903,586
math,math_1,90,946,596
math,math_1,89,1315,919
math,math_1,88,812,477
math,math_1,87,661,456
math,math_1,86,620,364
math,math_1,85,717,409
math,math_1,84,666,415
math,math_1,83,1089,724
math,math_1,82,604,330
math,math_1,81,510,338
math,math_1,80,541,328
math,math_1,79,564,363
math,math_1,78,533,296
math,math_1,77,505,308
math,math_1,76,986,620
math,math_1,75,528,329
math,math_1,74,515,328
math,math_1,73,574,310
math,math_1,72,508,315
math,math_1,71,610,336
math,math_1,70,1139,696
math,math_1,69,688,372
math,math_1,68,656,370
math,math_1,67,617,336
math,math_1,66,688,374
math,math_1,65,693,364
math,math_1,64,1425,773
math,math_1,63,768,432
math,math_1,62,808,398
math,math_1,61,810,414
math,math_1,60,749,348
math,math_1,59,1036,433
math,math_1,58,1487,691
math,math_1,57,1141,405
math,math_1,56,536,233
math,math_1,55,570,280
math,math_1,54,530,198
math,math_1,53,342,156
math,math_1,52,613,261
math,math_1,51,185,76
math,math_1,50,164,61
math,math_1,49,115,52
math,math_1,48,88,30
math,math_1,47,60,23
math,math_1,46,60,18
math,math_1,45,34,11
math,math_1,44,134,47
math,math_2,135,221,141
math,math_2,134,3,3
math,math_2,133,80,45
math,math_2,132,1898,1837
math,math_2,131,32,23
math,math_2,130,818,750
math,math_2,129,9553,10384
math,math_2,128,179,166
math,math_2,127,2973,3046
math,math_2,126,7155,9206
math,math_2,125,531,573
math,math_2,124,3170,3904
math,math_2,123,4776,6629
math,math_2,122,835,973
math,math_2,121,5963,7925
math,math_2,120,219,220
math,math_2,119,1059,1319
math,math_2,118,4559,6137
math,math_2,117,310,369
math,math_2,116,3531,4657
math,math_2,115,1380,1768
math,math_2,114,509,545
math,math_2,113,3303,4422
math,math_2,112,992,1323
math,math_2,111,2183,2732
math,math_2,110,1598,2209
math,math_2,109,789,961
math,math_2,108,2388,3171
math,math_2,107,1333,1777
math,math_2,106,1901,2341
math,math_2,105,1566,2107
math,math_2,104,1084,1371
math,math_2,103,2312,2793
math,math_2,102,1406,1832
math,math_2,101,2008,2487
math,math_2,100,1537,1977
math,math_2,99,1163,1628
math,math_2,98,2486,2980
math,math_2,97,1468,1865
math,math_2,96,2362,2860
math,math_2,95,1688,2040
math,math_2,94,1197,1648
math,math_2,93,2881,3525
math,math_2,92,1449,1856
math,math_2,91,2801,3570
math,math_2,90,1587,1911
math,math_2,89,1292,1673
math,math_2,88,3229,4016
math,math_2,87,1453,1807
math,math_2,86,1533,2041
math,math_2,85,3175,4114
math,math_2,84,1650,2065
math,math_2,83,3496,4444
math,math_2,82,1788,2206
math,math_2,81,1833,2392
math,math_2,80,3778,4930
math,math_2,79,2164,2855
math,math_2,78,4215,4953
math,math_2,77,2760,3420
math,math_2,76,2239,2685
math,math_2,75,5774,6474
math,math_2,74,2034,2460
math,math_2,73,5594,5124
math,math_2,72,2160,2637
math,math_2,71,1223,1325
math,math_2,70,3850,4272
math,math_2,69,707,791
math,math_2,68,1089,1051
math,math_2,67,325,405
math,math_2,66,195,170
math,math_2,65,266,279
math,math_2,63,175,155
