subject,type,standard_score,male,female
korean,korean,134,218,153
korean,korean,133,469,284
korean,korean,132,135,109
korean,korean,131,1053,660
korean,korean,130,1135,769
korean,korean,129,969,810
korean,korean,128,2237,1909
korean,korean,127,1996,1690
korean,korean,126,2645,2617
korean,korean,125,3788,3511
korean,korean,124,3806,3966
korean,korean,123,4365,4092
korean,korean,122,3756,3876
korean,korean,121,5492,5468
korean,korean,120,4210,4187
korean,korean,119,5534,5971
korean,korean,118,4790,5045
korean,korean,117,5405,5767
korean,korean,116,5236,5849
korean,korean,115,5321,5667
korean,korean,114,5378,6129
korean,korean,113,4921,5216
korean,korean,112,5864,6285
korean,korean,111,4689,5381
korean,korean,110,5052,5509
korean,korean,109,4547,4989
korean,korean,108,4900,5424
korean,korean,107,4208,4767
korean,korean,106,4418,4691
korean,korean,105,4250,4732
korean,korean,104,4538,4808
korean,korean,103,3583,3891
korean,korean,102,3657,3881
korean,korean,101,3465,3685
korean,korean,100,3350,3577
korean,korean,99,3632,3643
korean,korean,98,3158,3250
korean,korean,97,2967,3135
korean,korean,96,2937,2974
korean,korean,95,3000,3066
korean,korean,94,2755,2763
korean,korean,93,2649,2763
korean,korean,92,2600,2572
korean,korean,91,2476,2600
korean,korean,90,2730,2644
korean,korean,89,2433,2351
korean,korean,88,2340,2189
korean,korean,87,2487,2275
korean,korean,86,2330,2184
korean,korean,85,2220,2031
korean,korean,84,2272,2009
korean,korean,83,2119,1870
korean,korean,82,2205,1898
korean,korean,81,2074,1817
korean,korean,80,1971,1736
korean,korean,79,1995,1791
korean,korean,78,2051,1776
korean,korean,77,1873,1530
korean,korean,76,1902,1594
korean,korean,75,1868,1556
korean,korean,74,1698,1431
korean,korean,73,1777,1451
korean,korean,72,1689,1332
korean,korean,71,1589,1303
korean,korean,70,1653,1276
korean,korean,69,1654,1251
korean,korean,68,1551,1160
korean,korean,67,1547,1137
korean,korean,66,1681,1262
korean,korean,65,1550,1045
korean,korean,64,1560,966
korean,korean,63,1510,1055
korean,korean,62,1404,862
korean,korean,61,1521,989
korean,korean,60,1573,981
korean,korean,59,1319,848
korean,korean,58,1758,939
korean,korean,57,1213,709
korean,korean,56,1572,822
korean,korean,55,926,483
korean,korean,54,2320,1117
korean,korean,53,798,459
korean,korean,52,770,456
korean,korean,51,545,324
korean,korean,50,469,229
korean,korean,49,409,205
korean,korean,48,364,237
korean,korean,47,196,105
korean,korean,46,169,98
korean,korean,45,97,90
korean,korean,44,75,44
korean,korean,43,61,45
korean,korean,42,56,29
korean,korean,41,30,14
korean,korean,40,26,23
korean,korean,39,23,17
korean,korean,38,60,29
korean,korean,37,15,15
korean,korean,35,111,60
