normalized_score,male,female
65,626,212
66,60,29
67,87,46
68,129,69
69,99,47
70,505,270
71,470,254
72,1944,984
73,1109,561
74,10312,4402
75,1814,1033
76,4988,2784
77,2772,1614
78,4628,3008
79,2255,1477
80,4608,3196
81,4400,2512
82,2393,1814
83,7281,5616
84,2605,2059
85,4392,3780
86,2143,1873
87,4438,4085
88,2292,2055
89,4730,4375
90,2517,2299
91,5143,4917
92,5486,5433
93,5773,5938
94,3076,3093
95,6442,6689
96,3415,3635
97,7197,7528
98,3674,3927
99,7699,8132
100,4066,4355
101,12579,13892
102,4326,4940
103,8854,9963
104,4514,5150
105,9084,10755
106,4383,5204
107,9089,10859
108,4749,5564
109,13351,15836
110,4258,5105
111,4482,5322
112,8480,10295
113,3938,4450
114,7908,9004
115,3906,4526
116,7058,7688
117,3531,3618
118,9180,9304
119,3085,3098
120,5009,4597
121,1990,1821
122,3783,3511
123,1346,1287
124,2214,1876
125,1271,987
126,1058,774
127,310,211
