normalized_score,male,female
65,645,236
66,289,126
67,86,39
68,58,34
69,153,102
70,110,75
71,468,211
72,696,419
73,557,314
74,1546,933
75,2723,1605
76,4291,1882
77,5046,3005
78,3538,1769
79,5349,3254
80,4825,3493
81,2353,1666
82,4614,3571
83,4979,3882
84,2529,2120
85,4897,4326
86,5088,4674
87,2384,2322
88,5095,4895
89,2599,2483
90,5263,5327
91,5624,5621
92,2918,3071
93,5844,6427
94,5820,6436
95,3197,3554
96,5774,6593
97,2996,3502
98,6418,7249
99,6584,7454
100,3379,3746
101,6648,7741
102,6379,7551
103,3309,3944
104,5788,6799
105,3063,3614
106,6404,7375
107,5614,6755
108,2928,3448
109,5345,6207
110,5079,5832
111,2331,2565
112,4178,4443
113,3991,4202
114,1877,1951
115,3308,3449
116,1533,1649
117,2687,2728
118,2112,1974
119,938,911
120,1528,1449
121,1196,1088
122,372,364
123,596,535
124,255,186
125,267,242
126,102,81
127,33,26
